sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500000,2,3860,UT,Title & Sub-Escrow,Refinance,"111,200.00","120,000.00","-8,800.00",1.00,52.00,"1,319.00",18.00,32.00,0.00,54.00
17-500001,2,3863,CA,Title & Sub-Escrow,Refinance,"415,000.00","400,000.00","15,000.00",1.00,44.00,677.00,19.00,8.00,1.00,45.00
2301-200000,1,3863,CA,Title and Escrow,Reverse Mortgage,"322,000.00","809,250.00","-487,250.00",1.00,80.00,"1,620.00",17.00,36.00,0.00,55.00
17-500003,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,"391,054.89","835,020.16","-443,965.27",3.00,26.00,895.00,26.00,13.00,0.00,109.00
17-500004,2,3863,CA,LCP - Title Only,Refinance,"275,000.00","78,000.00","197,000.00",1.00,19.00,440.00,8.00,3.00,1.00,45.00
17-500005,2,3863,CA,Reverse Mortgage - Title Only,Refinance,"300,000.00",0.00,"300,000.00",0.00,66.00,"1,177.00",17.00,35.00,0.00,57.00
17-500006,2,3863,CA,Title Only,Refinance,"138,380.00","107,211.00","31,169.00",1.00,61.00,850.00,18.00,21.00,0.00,55.00
17-500007,2,3863,CA,Title Only,Refinance,"389,441.00","321,810.00","67,631.00",1.00,77.00,963.00,16.00,34.00,0.00,57.00
2301-200001,1,3863,CA,Title and Escrow,Reverse Mortgage,"189,000.00","139,500.00","49,500.00",1.00,80.00,"1,265.00",16.00,31.00,0.00,50.00
17-500008,2,3860,UT,Title & Sub-Escrow,Refinance,"86,000.00","126,000.00","-40,000.00",1.00,53.00,902.00,21.00,26.00,0.00,54.00
17-500009,2,3860,VA,Title & Full Escrow,Refinance,"264,000.00","309,294.00","-45,294.00",1.00,82.00,"1,475.00",21.00,36.00,0.00,54.00
2301-200003,1,3860,PA,Title and Escrow,Reverse Mortgage,"57,420.00","24,544.16","32,875.84",3.00,97.00,"1,983.00",24.00,59.00,0.00,36.00
2301-200004,1,3863,CA,Title and Escrow,Reverse Mortgage,"388,435.50","466,500.00","-78,064.50",2.00,73.00,"1,314.00",19.00,39.00,0.00,48.00
17-500011,2,3860,NJ,Title & Full Escrow,Refinance,"145,714.00","270,667.44","-124,953.44",3.00,137.00,"2,431.00",18.00,73.00,0.00,76.00
17-500012,2,3863,AZ,Title & Full Escrow,Refinance,"268,111.00","190,660.50","77,450.50",2.00,76.00,"1,039.00",18.00,20.00,0.00,53.00
17-500014,2,3863,CA,Title & Full Escrow,Refinance,"209,000.00","185,000.00","24,000.00",1.00,73.00,"1,150.00",21.00,18.00,0.00,47.00
