sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-504684,In-House with Abstractor,Uninsured (Info Products),30000.00,1.00,68.00,61.86666667,1.2,0.00,15.00
17-507704,In-House without XML,Refinance,196700.00,1.00,56.00,17.13461538,0.307692308,0.00,52.00
17-501440,In-House with Abstractor,Uninsured (Info Products),84800.00,1.00,40.00,8.029850746,0.194029851,0.00,67.00
17-507390,In-House with XML,Refinance,100000.00,1.00,44.00,14.86046512,0.325581395,0.00,43.00
17-505656,In-House with Abstractor,Refinance,74593.00,1.00,52.00,34.53571429,1.142857143,0.00,28.00
17-503750,In-House without XML,Uninsured (Info Products),100000.00,1.00,21.00,2.28,0.024,0.00,125.00
17-503153,In-House with Abstractor,Refinance,53517.00,1.00,58.00,11.89873418,0.392405063,0.00,79.00
2301-205615,In-House without XML,Reverse Mortgage,177020.00,0.00,83.00,44.03333333,1.033333333,0.00,30.00
17-502512,In-House with Abstractor,Refinance,172000.00,1.00,74.00,33.775,1.225,0.00,40.00
17-514141,In-House without XML,Refinance,262057.00,1.00,58.00,20.57142857,0.428571429,0.00,42.00
2301-202263,In-House with Abstractor,Reverse Mortgage,185000.00,1.00,55.00,11.93333333,0.355555556,1.00,45.00
2301-208128,In-House without XML,Reverse Mortgage,169600.00,1.00,68.00,29.35294118,1.058823529,0.00,34.00
17-509483,In-House without XML,Refinance,300000.00,1.00,59.00,12.28767123,0.164383562,0.00,73.00
17-515168,In-House without XML,Refinance,20000.00,1.00,34.00,19.4,0.333333333,0.00,30.00
2301-208228,In-House with Abstractor,Reverse Mortgage,625500.00,1.00,57.00,11.95555556,0.311111111,1.00,45.00
17-500549,In-House without XML,Refinance,395000.00,1.00,53.00,25.61290323,0.677419355,0.00,31.00
17-506480,In-House with Abstractor,Refinance,106000.00,1.00,66.00,23.71794872,0.41025641,0.00,39.00
17-503565,In-House without XML,Refinance,268000.00,1.00,97.00,8.847328244,0.229007634,0.00,131.00
2301-201491,In-House with Abstractor,Reverse Mortgage,157820.00,3.00,79.00,33.425,1.125,0.00,40.00
17-504583,In-House without XML,Refinance,50724.00,1.00,45.00,8.869047619,0.25,0.00,84.00
17-508845,In-House without XML,Refinance,200000.00,1.00,71.00,23.2,0.381818182,0.00,55.00
17-500864,In-House with Abstractor,Refinance,70000.00,0.00,38.00,10.35555556,0.2,1.00,45.00
17-502974,In-House without XML,Refinance,106000.00,1.00,45.00,9.888888889,0.111111111,1.00,45.00
2301-204094,In-House with Abstractor,Reverse Mortgage,267840.00,1.00,104.00,21.18292683,0.756097561,0.00,82.00
17-500522,In-House without XML,Refinance,169500.00,1.00,69.00,14.04545455,0.227272727,0.00,66.00
2301-203519,Outsourced with In-House Recording,Reverse Mortgage,500000.00,0.00,48.00,8.555555556,0.333333333,1.00,45.00
2301-206159,In-House with Abstractor,Reverse Mortgage,126720.00,1.00,99.00,20.48888889,0.844444444,1.00,45.00
2301-206651,In-House without XML,Reverse Mortgage,165360.00,1.00,83.00,44.85714286,1.057142857,0.00,35.00
17-507446,In-House with Abstractor,TSG,140157.33,1.00,12.00,359,4,0.00,0.00
17-504007,In-House without XML,Refinance,228000.00,0.00,42.00,36.84210526,0.842105263,0.00,19.00
17-504036,In-House with Abstractor,Refinance,120157.00,1.00,26.00,10.31111111,0.133333333,1.00,45.00
2301-208218,In-House without XML,Reverse Mortgage,340200.00,2.00,69.00,59.6,2.15,0.00,20.00
17-506859,In-House with Abstractor,Uninsured (Info Products),233250.00,1.00,37.00,16.28125,0.34375,0.00,32.00
17-504294,In-House without XML,Refinance,10000.00,1.00,34.00,20.44827586,0.344827586,0.00,29.00
17-505260,In-House with Abstractor,Uninsured (Info Products),430000.00,1.00,71.00,19.62222222,0.511111111,0.00,45.00
