sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oNumDays
17-500000,2,3860,UT,Title & Sub-Escrow,Refinance,111200.00,1.00,52.00,1319.00,18.00,32.00,54.00
17-500001,2,3863,CA,Title & Sub-Escrow,Refinance,415000.00,1.00,44.00,677.00,19.00,8.00,45.00
2301-200000,1,3863,CA,Title and Escrow,Reverse Mortgage,322000.00,1.00,80.00,1620.00,17.00,36.00,55.00
17-500003,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,391054.89,3.00,26.00,895.00,26.00,13.00,109.00
17-500004,2,3863,CA,LCP - Title Only,Refinance,275000.00,1.00,19.00,440.00,8.00,3.00,45.00
17-500005,2,3863,CA,Reverse Mortgage - Title Only,Refinance,300000.00,0.00,66.00,1177.00,17.00,35.00,57.00
17-500006,2,3863,CA,Title Only,Refinance,138380.00,1.00,61.00,850.00,18.00,21.00,55.00
17-500007,2,3863,CA,Title Only,Refinance,389441.00,1.00,77.00,963.00,16.00,34.00,57.00
2301-200001,1,3863,CA,Title and Escrow,Reverse Mortgage,189000.00,1.00,80.00,1265.00,16.00,31.00,50.00
17-500008,2,3860,UT,Title & Sub-Escrow,Refinance,86000.00,1.00,53.00,902.00,21.00,26.00,54.00
17-500009,2,3860,VA,Title & Full Escrow,Refinance,264000.00,1.00,82.00,1475.00,21.00,36.00,54.00
2301-200003,1,3860,PA,Title and Escrow,Reverse Mortgage,57420.00,3.00,97.00,1983.00,24.00,59.00,36.00
2301-200004,1,3863,CA,Title and Escrow,Reverse Mortgage,388435.50,2.00,73.00,1314.00,19.00,39.00,48.00
17-500011,2,3860,NJ,Title & Full Escrow,Refinance,145714.00,3.00,137.00,2431.00,18.00,73.00,76.00
17-500012,2,3863,AZ,Title & Full Escrow,Refinance,268111.00,2.00,76.00,1039.00,18.00,20.00,53.00
17-500014,2,3863,CA,Title & Full Escrow,Refinance,209000.00,1.00,73.00,1150.00,21.00,18.00,47.00
17-500015,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,50.00,767.00,4.00,12.00,27.00
