sFileNumber,vCoverageType,vProduct,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Title & Sub-Escrow,1.00,52.00,1319.00,18.00,32.00,0.00,54.00
17-500001,3863,Title & Sub-Escrow,1.00,44.00,677.00,19.00,8.00,1.00,45.00
2301-200000,3863,Title and Escrow,1.00,80.00,1620.00,17.00,36.00,0.00,55.00
17-500003,3860,TSG - Trustee Sale Guarantee,3.00,26.00,895.00,26.00,13.00,0.00,109.00
17-500004,3863,LCP - Title Only,1.00,19.00,440.00,8.00,3.00,1.00,45.00
17-500005,3863,Reverse Mortgage - Title Only,0.00,66.00,1177.00,17.00,35.00,0.00,57.00
17-500006,3863,Title Only,1.00,61.00,850.00,18.00,21.00,0.00,55.00
17-500007,3863,Title Only,1.00,77.00,963.00,16.00,34.00,0.00,57.00
2301-200001,3863,Title and Escrow,1.00,80.00,1265.00,16.00,31.00,0.00,50.00
17-500008,3860,Title & Sub-Escrow,1.00,53.00,902.00,21.00,26.00,0.00,54.00
17-500009,3860,Title & Full Escrow,1.00,82.00,1475.00,21.00,36.00,0.00,54.00
2301-200003,3860,Title and Escrow,3.00,97.00,1983.00,24.00,59.00,0.00,36.00
2301-200004,3863,Title and Escrow,2.00,73.00,1314.00,19.00,39.00,0.00,48.00
17-500011,3860,Title & Full Escrow,3.00,137.00,2431.00,18.00,73.00,0.00,76.00
17-500012,3863,Title & Full Escrow,2.00,76.00,1039.00,18.00,20.00,0.00,53.00
17-500014,3863,Title & Full Escrow,1.00,73.00,1150.00,21.00,18.00,0.00,47.00
17-500015,3863,Property Report / O&E - Title Only,1.00,50.00,767.00,4.00,12.00,0.00,27.00
2301-200007,3863,Title and Escrow,1.00,60.00,886.00,4.00,6.00,1.00,45.00
17-500016,3863,Title & Full Escrow,1.00,72.00,973.00,17.00,19.00,0.00,50.00
17-500018,3863,Property Report / O&E - Title Only,1.00,48.00,692.00,4.00,8.00,0.00,41.00
17-500019,3860,Property Report / O&E - Title Only,2.00,51.00,946.00,5.00,20.00,0.00,50.00
2301-200008,3860,Title and Escrow,3.00,75.00,960.00,24.00,30.00,1.00,45.00
2301-200009,3860,Title and Escrow,0.00,57.00,681.00,18.00,14.00,1.00,45.00
2301-200010,3860,Title and Escrow,0.00,66.00,742.00,21.00,12.00,1.00,45.00
17-500020,3860,Property Report / O&E - Title Only,2.00,49.00,614.00,6.00,14.00,0.00,28.00
2301-200011,3860,Title and Escrow,0.00,94.00,2203.00,31.00,49.00,0.00,28.00
2301-200012,3863,Title and Escrow,0.00,53.00,510.00,17.00,6.00,1.00,45.00
17-500022,3863,Title & Sub-Escrow,1.00,39.00,500.00,17.00,6.00,1.00,45.00
2301-200013,3863,Title and Escrow,1.00,86.00,1465.00,27.00,35.00,0.00,56.00
17-500023,3863,Title & Sub-Escrow,1.00,40.00,457.00,16.00,7.00,1.00,45.00
2301-200014,3860,Title and Escrow,0.00,99.00,1749.00,21.00,50.00,0.00,39.00
17-500024,3863,Title Only,0.00,23.00,272.00,1.00,7.00,1.00,45.00
17-500025,3863,Property Report / O&E - Title Only,1.00,42.00,545.00,7.00,9.00,0.00,29.00
2301-200015,3863,Title and Escrow,1.00,71.00,976.00,7.00,27.00,1.00,45.00
2301-200016,3863,Title and Escrow,0.00,85.00,1552.00,16.00,48.00,0.00,39.00
17-500026,3863,Title & Sub-Escrow,2.00,63.00,986.00,21.00,25.00,0.00,43.00
2301-200017,3863,Title and Escrow,1.00,57.00,637.00,29.00,7.00,1.00,45.00
17-500027,3863,Title & Full Escrow,1.00,50.00,586.00,18.00,10.00,1.00,45.00
17-500028,3860,Property Report / O&E - Title Only,1.00,41.00,627.00,4.00,11.00,0.00,50.00
2301-200018,3860,Title Only,2.00,79.00,1414.00,25.00,45.00,0.00,34.00
2301-200019,3860,Title and Escrow,0.00,111.00,1630.00,20.00,50.00,0.00,39.00
17-500029,3860,Property Report / O&E - Title Only,1.00,43.00,604.00,4.00,12.00,0.00,29.00
17-500031,3863,Title Only,1.00,74.00,1770.00,17.00,42.00,0.00,43.00
17-500032,3863,Title Only,2.00,44.00,620.00,24.00,14.00,1.00,45.00
17-500033,3863,Property Report / O&E - Title Only,1.00,51.00,721.00,13.00,24.00,0.00,204.00
17-500034,3863,Title & Sub-Escrow,0.00,44.00,558.00,19.00,10.00,1.00,45.00
17-500035,3860,Title Only,0.00,93.00,1566.00,20.00,49.00,0.00,61.00
17-500036,3860,Property Report / O&E - Title Only,2.00,43.00,620.00,5.00,15.00,0.00,35.00
2301-200021,3863,Title and Escrow,0.00,101.00,1715.00,15.00,44.00,0.00,46.00
17-500037,3860,Property Report / O&E & Full Escrow,2.00,61.00,918.00,6.00,23.00,0.00,53.00
2301-200023,3860,Title and Escrow,0.00,52.00,498.00,1.00,9.00,1.00,45.00
17-500038,3863,LCP - Title Only,1.00,42.00,699.00,4.00,8.00,0.00,29.00
17-500039,3860,Property Report / O&E - Title Only,2.00,38.00,634.00,7.00,16.00,0.00,29.00
17-500042,3863,Title Only,0.00,55.00,847.00,21.00,24.00,0.00,53.00
2301-200024,3863,Title and Escrow,1.00,110.00,2021.00,19.00,50.00,0.00,34.00
17-500043,3863,LCP & Sub-Escrow,2.00,67.00,1314.00,9.00,28.00,0.00,27.00
17-500044,3863,LCP - Title Only,2.00,56.00,1139.00,6.00,34.00,0.00,55.00
17-500045,3860,Property Report / O&E - Title Only,1.00,39.00,630.00,4.00,12.00,0.00,28.00
2301-200025,3863,Title and Escrow,1.00,74.00,1547.00,14.00,45.00,0.00,68.00
2301-200026,3860,Title and Escrow,2.00,97.00,1759.00,26.00,70.00,0.00,42.00
17-500046,3863,Property Report / O&E - Title Only,1.00,44.00,621.00,6.00,8.00,0.00,28.00
17-500047,3860,Property Report / O&E - Title Only,1.00,43.00,576.00,4.00,13.00,0.00,39.00
17-500048,3863,LCP - Title Only,1.00,57.00,809.00,7.00,13.00,0.00,55.00
17-500049,3863,Property Report / O&E - Title Only,1.00,43.00,605.00,5.00,15.00,0.00,19.00
17-500050,3863,LCP - Title Only,1.00,45.00,649.00,4.00,20.00,1.00,45.00
17-500051,3863,LCP - Title Only,1.00,64.00,947.00,4.00,15.00,0.00,64.00
17-500052,3863,Title Only,1.00,56.00,999.00,18.00,20.00,1.00,45.00
