nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
1.00,1319.00,32.00,0.00,54.00
1.00,677.00,8.00,1.00,45.00
1.00,1620.00,36.00,0.00,55.00
3.00,895.00,13.00,0.00,109.00
1.00,440.00,3.00,1.00,45.00
0.00,1177.00,35.00,0.00,57.00
1.00,850.00,21.00,0.00,55.00
1.00,963.00,34.00,0.00,57.00
1.00,1265.00,31.00,0.00,50.00
1.00,902.00,26.00,0.00,54.00
1.00,1475.00,36.00,0.00,54.00
3.00,1983.00,59.00,0.00,36.00
2.00,1314.00,39.00,0.00,48.00
3.00,2431.00,73.00,0.00,76.00
2.00,1039.00,20.00,0.00,53.00
1.00,1150.00,18.00,0.00,47.00
1.00,767.00,12.00,0.00,27.00
1.00,886.00,6.00,1.00,45.00
1.00,973.00,19.00,0.00,50.00
1.00,692.00,8.00,0.00,41.00
2.00,946.00,20.00,0.00,50.00
3.00,960.00,30.00,1.00,45.00
0.00,681.00,14.00,1.00,45.00
0.00,742.00,12.00,1.00,45.00
2.00,614.00,14.00,0.00,28.00
0.00,2203.00,49.00,0.00,28.00
0.00,510.00,6.00,1.00,45.00
1.00,500.00,6.00,1.00,45.00
1.00,1465.00,35.00,0.00,56.00
1.00,457.00,7.00,1.00,45.00
0.00,1749.00,50.00,0.00,39.00
0.00,272.00,7.00,1.00,45.00
1.00,545.00,9.00,0.00,29.00
1.00,976.00,27.00,1.00,45.00
0.00,1552.00,48.00,0.00,39.00
2.00,986.00,25.00,0.00,43.00
1.00,637.00,7.00,1.00,45.00
1.00,586.00,10.00,1.00,45.00
1.00,627.00,11.00,0.00,50.00
2.00,1414.00,45.00,0.00,34.00
0.00,1630.00,50.00,0.00,39.00
1.00,604.00,12.00,0.00,29.00
1.00,1770.00,42.00,0.00,43.00
2.00,620.00,14.00,1.00,45.00
1.00,721.00,24.00,0.00,204.00
0.00,558.00,10.00,1.00,45.00
0.00,1566.00,49.00,0.00,61.00
2.00,620.00,15.00,0.00,35.00
0.00,1715.00,44.00,0.00,46.00
2.00,918.00,23.00,0.00,53.00
0.00,498.00,9.00,1.00,45.00
1.00,699.00,8.00,0.00,29.00
2.00,634.00,16.00,0.00,29.00
0.00,847.00,24.00,0.00,53.00
1.00,2021.00,50.00,0.00,34.00
2.00,1314.00,28.00,0.00,27.00
2.00,1139.00,34.00,0.00,55.00
1.00,630.00,12.00,0.00,28.00
1.00,1547.00,45.00,0.00,68.00
2.00,1759.00,70.00,0.00,42.00
1.00,621.00,8.00,0.00,28.00
1.00,576.00,13.00,0.00,39.00
1.00,809.00,13.00,0.00,55.00
1.00,605.00,15.00,0.00,19.00
1.00,649.00,20.00,1.00,45.00
1.00,947.00,15.00,0.00,64.00
1.00,999.00,20.00,1.00,45.00
0.00,1462.00,37.00,0.00,129.00
1.00,2678.00,94.00,0.00,108.00
2.00,555.00,11.00,1.00,45.00
1.00,1307.00,37.00,0.00,56.00
2.00,1096.00,27.00,0.00,56.00
0.00,1393.00,27.00,0.00,60.00
2.00,669.00,14.00,1.00,45.00
1.00,608.00,16.00,0.00,47.00
0.00,265.00,1.00,1.00,45.00
1.00,1919.00,75.00,0.00,40.00
1.00,582.00,17.00,0.00,59.00
0.00,839.00,19.00,1.00,45.00
1.00,1122.00,26.00,0.00,42.00
1.00,561.00,8.00,1.00,45.00
1.00,819.00,20.00,0.00,42.00
0.00,639.00,5.00,0.00,32.00
1.00,1226.00,29.00,0.00,62.00
2.00,870.00,31.00,1.00,45.00
1.00,821.00,24.00,0.00,96.00
0.00,1930.00,68.00,0.00,35.00
1.00,445.00,8.00,1.00,45.00
2.00,1148.00,28.00,0.00,74.00
