sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500000,2,3860,UT,Title & Sub-Escrow,Refinance,111200.0000000,120000.0000000,-8800.0000000,1.0000000,52.0000000,24.425925925925900,18.0000000,0.592592592592593,0.0000000,54.0000000
17-500001,2,3863,CA,Title & Sub-Escrow,Refinance,415000.0000000,400000.0000000,15000.0000000,1.0000000,44.0000000,15.044444444444400,19.0000000,0.177777777777778,1.0000000,45.0000000
2301-200000,1,3863,CA,Title and Escrow,Reverse Mortgage,322000.0000000,809250.0000000,-487250.0000000,1.0000000,80.0000000,29.454545454545500,17.0000000,0.654545454545455,0.0000000,55.0000000
17-500003,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,391054.8900000,835020.1600000,-443965.2700000,3.0000000,26.0000000,8.211009174311930,26.0000000,0.119266055045872,0.0000000,109.0000000
17-500004,2,3863,CA,LCP - Title Only,Refinance,275000.0000000,78000.0000000,197000.0000000,1.0000000,19.0000000,9.777777777777780,8.0000000,0.066666666666667,1.0000000,45.0000000
17-500005,2,3863,CA,Reverse Mortgage - Title Only,Refinance,300000.0000000,0.0000000,300000.0000000,0.0000000,66.0000000,20.649122807017500,17.0000000,0.614035087719298,0.0000000,57.0000000
17-500006,2,3863,CA,Title Only,Refinance,138380.0000000,107211.0000000,31169.0000000,1.0000000,61.0000000,15.454545454545500,18.0000000,0.381818181818182,0.0000000,55.0000000
17-500007,2,3863,CA,Title Only,Refinance,389441.0000000,321810.0000000,67631.0000000,1.0000000,77.0000000,16.894736842105300,16.0000000,0.596491228070175,0.0000000,57.0000000
2301-200001,1,3863,CA,Title and Escrow,Reverse Mortgage,189000.0000000,139500.0000000,49500.0000000,1.0000000,80.0000000,25.300000000000000,16.0000000,0.620000000000000,0.0000000,50.0000000
17-500008,2,3860,UT,Title & Sub-Escrow,Refinance,86000.0000000,126000.0000000,-40000.0000000,1.0000000,53.0000000,16.703703703703700,21.0000000,0.481481481481481,0.0000000,54.0000000
17-500009,2,3860,VA,Title & Full Escrow,Refinance,264000.0000000,309294.0000000,-45294.0000000,1.0000000,82.0000000,27.314814814814800,21.0000000,0.666666666666667,0.0000000,54.0000000
2301-200003,1,3860,PA,Title and Escrow,Reverse Mortgage,57420.0000000,24544.1600000,32875.8400000,3.0000000,97.0000000,55.083333333333300,24.0000000,1.638888888888890,0.0000000,36.0000000
2301-200004,1,3863,CA,Title and Escrow,Reverse Mortgage,388435.5000000,466500.0000000,-78064.5000000,2.0000000,73.0000000,27.375000000000000,19.0000000,0.812500000000000,0.0000000,48.0000000
17-500011,2,3860,NJ,Title & Full Escrow,Refinance,145714.0000000,270667.4400000,-124953.4400000,3.0000000,137.0000000,31.986842105263200,18.0000000,0.960526315789474,0.0000000,76.0000000
17-500012,2,3863,AZ,Title & Full Escrow,Refinance,268111.0000000,190660.5000000,77450.5000000,2.0000000,76.0000000,19.603773584905700,18.0000000,0.377358490566038,0.0000000,53.0000000
17-500014,2,3863,CA,Title & Full Escrow,Refinance,209000.0000000,185000.0000000,24000.0000000,1.0000000,73.0000000,24.468085106383000,21.0000000,0.382978723404255,0.0000000,47.0000000
17-500015,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),25000.0000000,228250.0000000,-203250.0000000,1.0000000,50.0000000,28.407407407407400,4.0000000,0.444444444444444,0.0000000,27.0000000
2301-200007,1,3863,TX,Title and Escrow,Reverse Mortgage,131000.0000000,75000.0000000,56000.0000000,1.0000000,60.0000000,19.688888888888900,4.0000000,0.133333333333333,1.0000000,45.0000000
17-500016,2,3863,CA,Title & Full Escrow,Refinance,259462.0000000,216015.0000000,43447.0000000,1.0000000,72.0000000,19.460000000000000,17.0000000,0.380000000000000,0.0000000,50.0000000
17-500018,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),59400.0000000,420778.0000000,-361378.0000000,1.0000000,48.0000000,16.878048780487800,4.0000000,0.195121951219512,0.0000000,41.0000000
17-500019,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),125000.0000000,175000.0000000,-50000.0000000,2.0000000,51.0000000,18.920000000000000,5.0000000,0.400000000000000,0.0000000,50.0000000
2301-200008,1,3860,MO,Title and Escrow,Reverse Mortgage,290000.0000000,332000.0000000,-42000.0000000,3.0000000,75.0000000,21.333333333333300,24.0000000,0.666666666666667,1.0000000,45.0000000
2301-200009,1,3860,UT,Title and Escrow,Reverse Mortgage,153000.0000000,0.0000000,153000.0000000,0.0000000,57.0000000,15.133333333333300,18.0000000,0.311111111111111,1.0000000,45.0000000
2301-200010,1,3860,KY,Title and Escrow,Reverse Mortgage,145000.0000000,0.0000000,145000.0000000,0.0000000,66.0000000,16.488888888888900,21.0000000,0.266666666666667,1.0000000,45.0000000
17-500020,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),113000.0000000,408500.0000000,-295500.0000000,2.0000000,49.0000000,21.928571428571400,6.0000000,0.500000000000000,0.0000000,28.0000000
2301-200011,1,3860,FL,Title and Escrow,Reverse Mortgage,83360.0000000,0.0000000,83360.0000000,0.0000000,94.0000000,78.678571428571400,31.0000000,1.750000000000000,0.0000000,28.0000000
2301-200012,1,3863,CA,Title and Escrow,Reverse Mortgage,379678.5000000,0.0000000,379678.5000000,0.0000000,53.0000000,11.333333333333300,17.0000000,0.133333333333333,1.0000000,45.0000000
17-500022,2,3863,CA,Title & Sub-Escrow,Refinance,120000.0000000,193500.0000000,-73500.0000000,1.0000000,39.0000000,11.111111111111100,17.0000000,0.133333333333333,1.0000000,45.0000000
2301-200013,1,3863,FL,Title and Escrow,Reverse Mortgage,97170.0000000,100000.0000000,-2830.0000000,1.0000000,86.0000000,26.160714285714300,27.0000000,0.625000000000000,0.0000000,56.0000000
17-500023,2,3863,CA,Title & Sub-Escrow,Refinance,337500.0000000,433600.0000000,-96100.0000000,1.0000000,40.0000000,10.155555555555600,16.0000000,0.155555555555556,1.0000000,45.0000000
2301-200014,1,3860,MS,Title and Escrow,Reverse Mortgage,133750.0000000,0.0000000,133750.0000000,0.0000000,99.0000000,44.846153846153800,21.0000000,1.282051282051280,0.0000000,39.0000000
17-500024,2,3863,CA,Title Only,Refinance,1250000.0000000,0.0000000,1250000.0000000,0.0000000,23.0000000,6.044444444444440,1.0000000,0.155555555555556,1.0000000,45.0000000
17-500025,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),60000.0000000,550000.0000000,-490000.0000000,1.0000000,42.0000000,18.793103448275900,7.0000000,0.310344827586207,0.0000000,29.0000000
