sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Refinance,111200.0,1.0,52.0,24.42592592592590,0.59259259259259,0.0,54.0
17-500001,3863,Refinance,415000.0,1.0,44.0,15.04444444444440,0.17777777777778,1.0,45.0
2301-200000,3863,Reverse Mortgage,322000.0,1.0,80.0,29.45454545454550,0.65454545454546,0.0,55.0
17-500003,3860,TSG,391054.9,3.0,26.0,8.21100917431193,0.11926605504587,0.0,109.0
17-500004,3863,Refinance,275000.0,1.0,19.0,9.77777777777778,0.06666666666667,1.0,45.0
17-500005,3863,Refinance,300000.0,0.0,66.0,20.64912280701750,0.61403508771930,0.0,57.0
17-500006,3863,Refinance,138380.0,1.0,61.0,15.45454545454550,0.38181818181818,0.0,55.0
17-500007,3863,Refinance,389441.0,1.0,77.0,16.89473684210530,0.59649122807018,0.0,57.0
2301-200001,3863,Reverse Mortgage,189000.0,1.0,80.0,25.30000000000000,0.62000000000000,0.0,50.0
17-500008,3860,Refinance,86000.0,1.0,53.0,16.70370370370370,0.48148148148148,0.0,54.0
17-500009,3860,Refinance,264000.0,1.0,82.0,27.31481481481480,0.66666666666667,0.0,54.0
2301-200003,3860,Reverse Mortgage,57420.0,3.0,97.0,55.08333333333330,1.63888888888889,0.0,36.0
2301-200004,3863,Reverse Mortgage,388435.5,2.0,73.0,27.37500000000000,0.81250000000000,0.0,48.0
17-500011,3860,Refinance,145714.0,3.0,137.0,31.98684210526320,0.96052631578947,0.0,76.0
17-500012,3863,Refinance,268111.0,2.0,76.0,19.60377358490570,0.37735849056604,0.0,53.0
17-500014,3863,Refinance,209000.0,1.0,73.0,24.46808510638300,0.38297872340426,0.0,47.0
17-500015,3863,Uninsured (Info Products),25000.0,1.0,50.0,28.40740740740740,0.44444444444444,0.0,27.0
2301-200007,3863,Reverse Mortgage,131000.0,1.0,60.0,19.68888888888890,0.13333333333333,1.0,45.0
17-500016,3863,Refinance,259462.0,1.0,72.0,19.46000000000000,0.38000000000000,0.0,50.0
17-500018,3863,Uninsured (Info Products),59400.0,1.0,48.0,16.87804878048780,0.19512195121951,0.0,41.0
17-500019,3860,Uninsured (Info Products),125000.0,2.0,51.0,18.92000000000000,0.40000000000000,0.0,50.0
2301-200008,3860,Reverse Mortgage,290000.0,3.0,75.0,21.33333333333330,0.66666666666667,1.0,45.0
2301-200009,3860,Reverse Mortgage,153000.0,0.0,57.0,15.13333333333330,0.31111111111111,1.0,45.0
2301-200010,3860,Reverse Mortgage,145000.0,0.0,66.0,16.48888888888890,0.26666666666667,1.0,45.0
17-500020,3860,Uninsured (Info Products),113000.0,2.0,49.0,21.92857142857140,0.50000000000000,0.0,28.0
2301-200011,3860,Reverse Mortgage,83360.0,0.0,94.0,78.67857142857140,1.75000000000000,0.0,28.0
2301-200012,3863,Reverse Mortgage,379678.5,0.0,53.0,11.33333333333330,0.13333333333333,1.0,45.0
17-500022,3863,Refinance,120000.0,1.0,39.0,11.11111111111110,0.13333333333333,1.0,45.0
2301-200013,3863,Reverse Mortgage,97170.0,1.0,86.0,26.16071428571430,0.62500000000000,0.0,56.0
17-500023,3863,Refinance,337500.0,1.0,40.0,10.15555555555560,0.15555555555556,1.0,45.0
2301-200014,3860,Reverse Mortgage,133750.0,0.0,99.0,44.84615384615380,1.28205128205128,0.0,39.0
17-500024,3863,Refinance,1250000.0,0.0,23.0,6.04444444444444,0.15555555555556,1.0,45.0
17-500025,3863,Uninsured (Info Products),60000.0,1.0,42.0,18.79310344827590,0.31034482758621,0.0,29.0
2301-200015,3863,Reverse Mortgage,146000.0,1.0,71.0,21.68888888888890,0.60000000000000,1.0,45.0
2301-200016,3863,Reverse Mortgage,200313.8,0.0,85.0,39.79487179487180,1.23076923076923,0.0,39.0
17-500026,3863,Refinance,320000.0,2.0,63.0,22.93023255813950,0.58139534883721,0.0,43.0
2301-200017,3863,Reverse Mortgage,80000.0,1.0,57.0,14.15555555555560,0.15555555555556,1.0,45.0
17-500027,3863,Refinance,179900.0,1.0,50.0,13.02222222222220,0.22222222222222,1.0,45.0
17-500028,3860,Uninsured (Info Products),60000.0,1.0,41.0,12.54000000000000,0.22000000000000,0.0,50.0
2301-200018,3860,Reverse Mortgage,101306.6,2.0,79.0,41.58823529411760,1.32352941176471,0.0,34.0
2301-200019,3860,Reverse Mortgage,87408.0,0.0,111.0,41.79487179487180,1.28205128205128,0.0,39.0
